pic,ddownlink1
004_1,
NA,
006_2,https://drive.google.com/uc?id=1LChhehQadgkYQ2CMvGiosSE5BeaOjhVK&export=download
007_1,https://drive.google.com/uc?id=12cTxYabPs-pkfAMV9H8fReeUBZlnhz3A&export=download
008_2,https://drive.google.com/uc?id=1azFWwk6a84EMeexeYl_8QHNOX-BAO6GK&export=download
009_3,https://drive.google.com/uc?id=1EV41xgT7iMJqAr2Ds8GR-aZuXBJmTBVT&export=download
010_4,https://drive.google.com/uc?id=1zt2994PsGe-9AtpwSms-dDfjAG_ivGiR&export=download
NA,
NA,
NA,
NA,
NA,
016_2-016_3-016_4,https://drive.google.com/uc?id=1vUAYm0QeEZGmqMzxw9A7mmJ7K5l5KJhx&export=download
017_1-0_17_2:017_5-017_alders-017_P3-017_alders_2,https://drive.google.com/uc?id=1vYoNlG9z3Ba4iM0uwJyjwi7Z2Qc0glWW&export=download
NA,
019_1:019_13,https://drive.google.com/uc?id=1H88nq7wJtRdanL0FZj2rDoDxRlztj432&export=download
NA,
021_1-021_2,https://drive.google.com/uc?id=1Gi4V9VljuBID5hdjodiawfEjme2dcbcj&export=download
NA,
023_1:)23_3,https://drive.google.com/uc?id=1GAx0-4aYYdnxsfJUjX-0txSz8DWtaeem&export=download
NA,
NA,
NA,
NA,
028_4,https://drive.google.com/uc?id=1N8ds95QKD36nP1VCtmjNzJpSM4j-gfxW&export=download
NA,
NA,
031_jaw_4,https://drive.google.com/uc?id=1RpmTu2JG4eVBHCSFLsdyaQJTlHUaIufP&export=download
NA,#N/A
NA,#N/A
034_2,https://drive.google.com/uc?id=1XseZ8QNgVk0NfYatE_ZrnLsT-GDCBMmQ&export=download
035_1,https://drive.google.com/uc?id=1W2lTMRio0SYLP5IyVIMkDyDgjLVgPlSK&export=download
036_1,https://drive.google.com/uc?id=1OfbCMXJqoZ7bcFEan1f3HUuLIwYiCZE4&export=download
NA,#N/A
038_McCash_Ridge,#N/A
tracks_near_hells_sandy_junction,#N/A
040_1,https://drive.google.com/uc?id=1IjTd25W5hOmYeV9K278dFCwomDfUVM8C&export=download
041_1,https://drive.google.com/uc?id=1ajOwa6GRS8QzAVf1M3_XST8ybGyjV6y6&export=download
042_1,https://drive.google.com/uc?id=1jqilhHQ3NrXtfOfyCBRWQeS2rTzMdNzs&export=download
043_2,https://drive.google.com/uc?id=1pgxX4oHCzecxOnxoz8OiRoRbdo7hMhaS&export=download
NA,#N/A
045_2,https://drive.google.com/uc?id=1Wgizxmm7tS7gZkybhCdig9CGxkUDhOHT&export=download
046_fresh_scat,
NA,#N/A
048_scat_with_beetles,
NA,#N/A
050_1,#N/A
051_1,#N/A
052_bed_track_urine_stain,#N/A
C_053_1,#N/A
054_herd_foraging,#N/A
055_herd_walking_away,#N/A
056_elk_bedded_down,#N/A
should have one can't find,#N/A
058_14,#N/A
NA,#N/A
060_1,#N/A
061_5,#N/A
NA,#N/A
063_1,#N/A
NA,#N/A
065_1,#N/A
066_3,#N/A
NA,#N/A
068_3,#N/A
069_3,#N/A
NA,#N/A
071_4,#N/A
072_1,#N/A
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
NA,
086_1 (3): 087_1 (5),#N/A
087_1,#N/A
NA,
089_1 (1),#N/A
090_1 (1),#N/A
091_1 (10),#N/A
092_1 (3),#N/A
093_1 (3),#N/A
NA,
095_1 (5),#N/A
096_1 (3),#N/A
097_1 (1),#N/A
098_1 (1),
099_1 (1),#N/A
100_1 (1),#N/A
101_1_real,#N/A
102_1 (1),#N/A
NA,#N/A
104_1 (18),#N/A
NA,#N/A
106_1 (2),#N/A
NA,#N/A
NA,#N/A
109_1 (16),#N/A
110_1 (10),#N/A
NA,#N/A
112_1 (1),#N/A
113_1 (3),#N/A
NA,#N/A
NA,#N/A
116_1 (4),#N/A
117_1 (3),#N/A
NA,#N/A
119_1 (5),#N/A
NA,#N/A
121_1 (1),#N/A
122_potential_bed (1),#N/A
NA,#N/A
NA,#N/A
125_1_ash (1),#N/A
NA,#N/A
